Card Type,Title,Description,Alignment / Synergy,Scoring Information,Ethical Risk,Reproducibility,Sensibility,Novelty
Ontology,Realism,"Realism holds that the world has a stable structure that exists independently of human observation or interpretation. Reality is 'out there' waiting to be discovered through systematic investigation.","Compatible Epistemologies: Positivism, Objectivism, Pragmatist | Incompatible: Aesthetic Epistemology","Gameplay Effect: +2 points if your stack includes a Method with Reproducibility 8 or higher",,,,
Ontology,Constructivism,"Constructivism sees reality as something people actively build together through conversation, symbols, shared practices, and social interaction. What we call 'reality' is socially constructed.","Compatible Epistemologies: Interpretivism, Constructivist Epistemology, Feminist Epistemology, Embodied Epistemology, Aesthetic Epistemology, Critical Epistemology, Pragmatist | Incompatible: Objectivism","Gameplay Effect: When you complete a stack containing at least 2 Methods with Sensibility 7+, draw 1 card (then discard to 7)",,,,
Epistemology,Interpretivism,"Knowledge comes from understanding how people interpret and make meaning of their worlds. Emphasizes depth, context, and subjective experience over generalization.","Compatible Ontologies: Relativism, Constructivism | Synergy Methods: Interview (Qualitative), Case Study, Ethnography, Textual Analysis, Oral History, Biographical Method, Thematic Analysis","SCORING: Compatible Ontology + Synergy Method = +10 pts (Coherent Paradigm) | Incompatible Ontology = -5 pts | Neither = +3 pts (Mixed Paradigm)",,,,
Epistemology,Positivism,"Knowledge is produced through empirical observation, measurement, and testing. Reality can be objectively known through the scientific method and value-free inquiry.","Compatible Ontologies: Realism | Incompatible Ontologies: Relativism, Constructivism | Synergy Methods: Survey (Quantitative), Experimental Design, Statistical Analysis, Content Analysis, Social Media Mining, Archival Research, Corpus Linguistics","SCORING: Compatible Ontology + Synergy Method = +10 pts (Coherent Paradigm) | Incompatible Ontology = -5 pts | Neither = +3 pts (Mixed Paradigm)",,,,
Theory/Framework,Hermeneutics,"The art and science of interpretation, originally of religious texts, now applied broadly. Emphasizes the hermeneutic circle: we understand parts through the whole and the whole through its parts.","Aligns with: Interpretivism","+7 points if aligned with stack's Epistemology | 0 points if not aligned | (Highly Specialized: 1 alignment)",,,,
Theory/Framework,Phenomenology,"Philosophical approach exploring how consciousness experiences phenomena. Bracketing assumptions to understand the essential structures of lived experience.","Aligns with: Embodied Epistemology, Interpretivism","+5 points if aligned with stack's Epistemology | 0 points if not aligned | (Standard Focus: 2 alignments)",,,,
Theory/Framework,Postcolonial Theory,"Critical framework examining the lasting impacts of colonialism on culture, literature, and power relations. Centers voices and perspectives marginalized by colonial history.","Aligns with: Critical Epistemology, Feminist Epistemology, Interpretivism","+3 points if aligned with stack's Epistemology | 0 points if not aligned | (Broad/Flexible: 3 alignments)",,,,
Method,Ethnography,"Immersive fieldwork where the researcher participates in and observes a community or culture over time. Produces rich, contextual understanding of social practices.","Interpretivism, Critical Epistemology","If Ethical Risk ≥7: -1 pt | Contributes to Objectivity Award (sum Reproducibility) | Contributes to Insight Award (sum Sensibility) | If avg Novelty ≥7: +3 pts Cutting-Edge Bonus",7,3,8,5
Method,Interview (Qualitative),"In-depth, semi-structured conversations with participants to explore their experiences, perspectives, and meanings. Data is analyzed thematically or narratively.",Interpretivism,"Contributes to Objectivity Award (sum Reproducibility) | Contributes to Insight Award (sum Sensibility) | If avg Novelty ≥7: +3 pts Cutting-Edge Bonus",6,4,8,4
Method,Statistical Analysis,"Mathematical techniques for analyzing numerical data, identifying patterns, and testing hypotheses. Includes regression, correlation, and significance testing.","Positivism, Realism","Contributes to Objectivity Award (sum Reproducibility) | Contributes to Insight Award (sum Sensibility) | Methodological Extreme: Sensibility ≤2, discard 1 extra card to play",3,9,2,4
Method,Autoethnography,"A reflexive research method where the researcher uses their own lived experience as primary data to explore cultural phenomena. Combines autobiography and ethnography.","Feminist Epistemology, Embodied Epistemology","If Ethical Risk ≥7: -1 pt | Contributes to Insight Award (sum Sensibility) | If avg Novelty ≥7: +3 pts Cutting-Edge Bonus | Methodological Extreme: Reproducibility ≤2, discard 1 extra card to play",7,2,9,8
Method,Corpus Linguistics,"Computer-aided analysis of large text collections (corpora) to study language patterns, frequencies, and usage. Combines computational and linguistic methods.","Positivism, Digital Humanities","Contributes to Objectivity Award (sum Reproducibility) | Contributes to Insight Award (sum Sensibility) | If avg Novelty ≥7: +3 pts Cutting-Edge Bonus",2,8,4,6
Object-of-Study,Digital Media & Online Communities,"Research into how people interact on the internet, including social media, forums, gaming, and virtual worlds.","Keywords: #Digital, #Contemporary, #Social, #Interactive","+2 points if any card in your stack shares a keyword with this Object-of-Study (max +2 total)",,,,
Object-of-Study,Memory & Oral Histories,"Focuses on how memories are constructed, preserved, and passed down through personal testimony and collective remembering.","Keywords: #Historical, #Narrative, #Experiential, #Qualitative","+2 points if any card in your stack shares a keyword with this Object-of-Study (max +2 total)",,,,
Event,Major Breakthrough,"Choose one of your incomplete research stacks. Immediately score it as a Coherent Paradigm (+10 points), ignoring any incompatibilities or minimum Method requirements.",,"Powerful effect - use strategically when you have an incompatible stack!",,,,
Event,Funding Boost,"Draw 2 cards from the draw pile (then discard to return to 7-card hand).",,"Simple benefit - increases your options",,,,
Event,Ethical Committee Revision,"Add +2 Ethical Risk to one Method card in any player's stack (including your own).",,"Can trigger -1 point penalty if it pushes a Method to 7+ Ethical Risk",,,,
