Method,Positivism,Interpretivism,Critical,Feminist,Constructivist,Embodied,Aesthetic,Pragmatist,Objectivism
Action Research,,,,,,,,✓,
Archival Research,✓,,,,,,,,
Artefact Analysis,,,,,,,,,,
Autoethnography,,,,✓,,,,,
Biographical Method,,✓,,,,,,,
Case Study,,✓,,,,,,,
Content Analysis,✓,,,,,,,,✓
Corpus Linguistics,✓,,,,,,,,
Creative Writing as Inquiry,,,,✓,,,,,
Critical Discourse Analysis,,,✓,,,,,,
Cultural Probes,,,,,,,,,✓
Digital Humanities Methods,,,,,,,,✓,
Discourse Analysis,,,✓,,,,,,
Documentary Analysis,,,,,,,,,,
Drawing as Inquiry,,,,,,,✓,,
Embodied Mapping,,,,,,✓,,,
Ethnography,,✓,✓,,✓,,,
Exhibition-as-Research,,,,,,,,,,
Experimental Design,✓,,,,,,,,✓
Film Analysis,,,,,,,✓,,
Focus Groups,,,,,,,,✓,✓
Grounded Theory,,,,,✓,,,
Historical Method,,,,,,,,,,
Interview (Qualitative),,✓,,,✓,,,
Longitudinal Study,,,,,,,,,,
Material Culture Analysis,,,,,,,,,,
Memory-Work Method,,,,✓,,,,,
Mixed-Methods Research,,,,,,,,✓,
Narrative Inquiry,,,,✓,,,,,
Netnography,,,,,,,,,,
Oral History,,✓,,,,,,,
Participatory Methods,,,✓,✓,,,,
Performance Ethnography,,,,,,✓,✓,,
Phenomenology,,,,,,✓,,,
Practice-Based Research,,,,,,,✓,,
Semiotic Analysis,,,,,,,,,✓
Sensory Ethnography,,,,,,✓,✓,,
Social Media Mining,✓,,,,,,,,
Soundwalk Method,,,,,,✓,,,
Speculative Design,,,,,,,,✓,
Statistical Analysis,✓,,,,,,,,✓
Survey (Quantitative),✓,,,,,,,,✓
Textual Analysis,,✓,,,,,,,
Thematic Analysis,,✓,,,,,,,
VR Ethnography,,,,,,,✓,,
Visual Analysis,,,,,,,,,,
Walking Interview,,,,,,✓,,,
